Timestamp,X_a,Y_a,Z_a,X_g,Y_g,Z_g,Activity
0.02,-0.12918425,9.481742,2.385,-0.002694851,0.00132646145,0.0077501355,0.0
0.025,-0.1153112,9.472656,2.4,-0.002371825,0.0002706349,0.008198016,0.0
0.05,-0.1555619,9.458876,2.4,-0.001280695,-0.002692986,0.007777778,0.0
0.075,-0.1667664,9.473234,2.4,-0.004444444,-0.005241661,0.005555556,0.0
0.1,-0.16,9.49,2.38761,-0.007114658,0.0008900712,0.002891253,0.0
0.12,-0.14130505,9.49,2.39511,-0.0042396135,0.0045483381,0.003112293,0.0
0.125,-0.1226101,9.49,2.40261,-0.001364569,0.008206605,0.003333333,0.0
0.15,-0.1098444,9.475078,2.405078,-0.001854595,0.004444444,0.002222222,0.0
0.175,-0.1187161,9.47,2.448716,-0.002484877,-0.0008081292,0.0002828186,0.0
0.2,-0.1075356,9.472512,2.404976,-0.002593054,-0.001296527,-0.0006482635,0.0
0.22,-0.10512925000000001,9.4738305,2.403701,0.0012514265,0.00013711650000000001,-0.0021247157499999997,0.0
0.225,-0.1027229,9.475149,2.402426,0.005095907,0.00157076,-0.003601168,0.0
0.25,-0.1361472,9.46,2.398442,0.001759356,-0.001759356,-0.006018422,0.0
0.275,-0.1257846,9.467354,2.402646,0.0002787023,0.0005500086,-0.007224071,0.0
0.3,-0.1388388,9.46628,2.414882,-0.001585626,0.002222222,-0.007989977,0.0
0.32,-0.1444194,9.4671115,2.400526,-0.00070435175,-0.0008554489999999999,-0.009039218500000001,0.0
0.325,-0.15,9.467943,2.38617,0.0001769225,-0.00393312,-0.01008846,0.0
0.35,-0.15,9.48,2.389488,-0.001111111,-0.001425879,-0.008574121,0.0
0.375,-0.18,9.483921,2.4,-0.0004055729,-0.0002351794,-0.006261094,0.0
0.4,-0.1676493,9.4749,2.409801,-0.003333333,0.0028751,-0.004444444,0.0
0.42,-0.1548326,9.476441999999999,2.4149005,-0.0010939970000000002,0.003676886,-0.0038888885,0.0
0.425,-0.1420159,9.477984,2.42,0.001145339,0.004478672,-0.003333333,0.0
0.45,-0.1555564,9.49,2.431113,-0.001848635,0.001479873,-0.005186793,0.0
0.475,-0.1407604,9.44538,2.397719,-0.003214162,-0.001441758,-0.004563616,0.0
0.5,-0.1555176,9.485518,2.396724,0.002222222,-0.003333333,-0.00509941,0.0
0.52,-0.12151213,9.4696355,2.3983619999999997,0.0002692164999999998,-0.000303462,-0.004485588,0.0
0.525,-0.08750666,9.453753,2.4,-0.001683789,0.002726409,-0.003871766,0.0
0.55,-0.09571011,9.47,2.39287,0.0,0.004701056,-0.005896833,0.0
0.575,-0.1474014,9.460866,2.419134,-0.006666667,-0.002883488,-0.007116512,0.0
0.6,-0.1720807,9.478323,2.380403,0.001729959,0.0003094242,-0.002623066,0.0
0.62,-0.1541648,9.474161500000001,2.3802015,0.0006028776499999999,0.0004481658,-0.001311533,0.0
0.625,-0.1362489,9.47,2.38,-0.0005242037,0.0005869074,0.0,0.0
0.65,-0.1487938,9.471206,2.383191,-0.003333333,0.0003062523,-0.0003062523,0.0
0.675,-0.1749601,9.47488,2.40016,-0.002222222,-0.0002019429,-0.0009091682,0.0
0.7,-0.1762708,9.468135,2.408135,-0.003731014,-0.002619903,0.001111111,0.0
0.72,-0.1704461,9.466757000000001,2.415412,-0.00215035285,0.000627425,0.0022222220000000003,0.0
0.725,-0.1646214,9.465379,2.422689,-0.0005696917,0.003874753,0.003333333,0.0
0.75,-0.1494707,9.47,2.418412,0.0005341147,0.002756337,0.003333333,0.0
0.775,-0.08993113,9.474966,2.399862,-0.001301585,-0.002761911,0.003523808,0.0
0.8,-0.1141469,9.457804,2.395853,-0.0007146718,-0.0007146718,0.0003964393,0.0
0.82,-0.10961665,9.4622065,2.3954695,0.0017884726000000004,-0.00013686825000000004,-0.0008746848499999998,0.0
0.825,-0.1050864,9.466609,2.395086,0.004291617,0.0004409353,-0.002145809,0.0
0.85,-0.1,9.47,2.380655,0.004649071,0.003333333,-0.004748517,0.0
0.875,-0.1445603,9.47544,2.413681,0.002958024,-0.003145679,-0.004819754,0.0
0.9,-0.15,9.466954,2.386091,0.0008489525,0.004019968,-0.002646698,0.0
0.92,-0.14920685,9.465856500000001,2.3780455,-0.0003480377500000001,4.526649999999927e-05,-0.0032880665,0.0
0.925,-0.1484137,9.464759,2.37,-0.001545028,-0.003929435,-0.003929435,0.0
0.95,-0.1568972,9.473103,2.38,0.0008420786,-0.004175412,-0.002491255,0.0
0.975,-0.09550935,9.48,2.44483,0.0009288037,-0.0003818814,-0.004444444,0.0
1.0,-0.04708389,9.441771,2.506458,0.0004022837,-0.0102108,-0.007682038,0.0
1.02,-0.09643354500000001,9.4830745,2.429012,-0.0008197301499999999,-0.02377575,-0.010559864,0.0
1.025,-0.1457832,9.524378,2.351566,-0.002041744,-0.0373407,-0.01343769,0.0
1.05,-0.27,9.520421,2.295965,-0.004651515,-0.03787205,-0.01312626,0.0
1.075,-0.1575653,9.434054,2.39,0.003174043,-0.01682596,-0.001270401,0.0
1.1,-0.008453998,9.582525,2.46366,-0.00612288,-0.01706274,0.0,0.0
1.12,-0.041718144,9.6237715,2.412457,-0.01050523,-0.026190155,0.005,0.0
1.125,-0.07498229,9.665018,2.361254,-0.01488758,-0.03531757,0.01,0.0
1.15,-0.4119211,9.687816,2.345895,-0.01722471,-0.05583209,0.01750622,0.0
1.175,-0.2345807,9.884068,2.532547,-0.010085,-0.01850025,0.0387189,0.0
1.2,0.003527196,8.511922,2.250392,0.01972876,-0.01597549,0.03416449,0.0
1.22,0.188098298,8.957952500000001,2.2779290000000003,-0.009199625,-0.018922215,0.01734644715,0.0
1.225,0.3726694,9.403983,2.305466,-0.03812801,-0.02186894,0.0005284043,0.0
1.25,0.1384502,9.751539,2.395005,-0.02784744,-0.04222222,-0.02287008,0.0
1.275,0.07600214,9.43,2.471693,-0.01956761,0.02413484,-0.0343209,0.0
1.3,0.07540055,9.34615,2.44385,-0.01882055,0.01745296,-0.04423944,0.0
1.32,-0.071465825,9.406824,2.4115115,-0.020462795,0.0037264800000000008,-0.052265985,0.0
1.325,-0.2183322,9.467498,2.379173,-0.02210504,-0.01,-0.06029253,0.0
1.35,-0.2564351,9.526435,2.334955,-0.02111111,-0.01477677,-0.06111111,0.0
1.375,-0.5331151,9.469221,2.336947,-0.0265459,-0.02432367,-0.04480675,0.0
1.4,-0.64499,9.507525,2.39002,-0.03535342,0.003635885,-0.02378815,0.0
1.42,-0.5324747,9.4637625,2.428018,-0.03390184,0.022815037500000003,-0.0102419395,0.0
1.425,-0.4199594,9.42,2.466016,-0.03245026,0.04199419,0.003304271,0.0
1.45,-0.2886936,9.416081,2.508694,-0.03478771,0.03136535,0.01965931,0.0
1.475,-0.2824355,9.462124,2.633627,-0.02245217,0.01003837,0.03793099,0.0
1.5,-0.2475777,9.459317,2.663447,-0.01305568,-0.003194424,0.05027766,0.0
1.52,-0.24473050000000002,9.4216875,2.6567235,-0.004708948500000001,-0.006012847,0.054965975,0.0
1.525,-0.2418833,9.384058,2.65,0.003637783,-0.00883127,0.05965429,0.0
1.55,-0.1848046,9.41,2.651201,0.0108615,-0.003117959,0.06709741,0.0
1.575,-0.167841,9.414205,2.598409,0.02570923,-0.00421515,0.07628369,0.0
1.6,-0.1670273,9.423514,2.547568,0.03335034,0.001440719,0.08619776,0.0
1.62,-0.19385305,9.437436000000002,2.5008205,0.03542895,0.0009905762,0.09097177000000001,0.0
