Timestamp,X_a,Y_a,Z_a,X_g,Y_g,Z_g,Activity
0.02,-1.01644665,9.568449000000001,1.6788365,-0.0010113605,0.040076915,-0.013062836,0.0
0.025,-0.8597913,9.6,1.7,0.001310612,0.04727902,-0.003034082,0.0
0.05,-0.7989262,9.634421,1.706695,0.005197743,0.02698681,-0.005951041,0.0
0.075,-0.9672133,9.6,1.74801,0.006896897,0.01,-0.01222222,0.0
0.1,-0.9279917,9.650507,1.697992,0.00775589,0.018867,-0.008888889,0.0
0.12,-0.8430812999999999,9.627510000000001,1.7053375,0.013877595,0.0127703095,-0.0099993045,0.0
0.125,-0.7581709,9.604513,1.712683,0.0199993,0.006673619,-0.01110972,0.0
0.15,-0.8540615,9.655256,1.665085,0.01569212,-0.01406425,-0.02246586,0.0
0.175,-0.94,9.590392,1.609608,0.01165934,0.001962764,-0.02,0.0
0.2,-0.8528964,9.588445,1.6,0.003451463,0.02186783,-0.01777778,0.0
0.22,-0.7644751000000001,9.5892225,1.6119729999999999,0.0006170120000000001,0.020902825,-0.01945162,0.0
0.225,-0.6760538,9.59,1.623946,-0.002217439,0.01993782,-0.02112546,0.0
0.25,-0.6849335,9.624053,1.689867,0.002845352,-0.004634616,-0.02731731,0.0
0.275,-0.7599689,9.629907,1.690031,-0.0004809512,-0.01927857,-0.03357381,0.0
0.3,-0.7330452,9.66609,1.66609,0.006580303,-0.04623485,-0.02897525,0.0
0.32,-0.71550085,9.598018,1.673018,0.013868106500000001,-0.05257307,-0.0371646,0.0
0.325,-0.6979565,9.529946,1.679946,0.02115591,-0.05891129,-0.04535395,0.0
0.35,-1.045329,9.976859,1.707664,0.03446213,-0.05777778,-0.03845406,0.0
0.375,-0.7883835,9.55084,1.832995,0.09477235,-0.07985011,-0.03365562,0.0
0.4,-0.8370699,9.494233,1.65214,0.09513126,-0.1268529,-0.01651404,0.0
0.42,-0.94292145,9.553711499999999,1.8438615,0.12236298,-0.12039359999999999,-0.014721035,0.0
0.425,-1.048773,9.61319,2.035583,0.1495947,-0.1139343,-0.01292803,0.0
0.45,-1.09,9.161605,1.83679,0.1230094,-0.05916684,-0.004027749,0.0
